,평점,일시,감상평
0,8,2017.03.16 10:39,화성과 우주로 변주한 (다소는 어디서 본 듯한) 틴에이지멜로물이지만 주인공은 소년다움을 잘 연기했고 눈이 시원해지는 듯한 시각적 상쾌함도 있었다.다만 여주인공이이모뻘로 보여 몰입이 상당히 방해됨
1,9,2017.03.16 00:51,현실판 어린왕자느낌이났다. 소소하게 즐길수잇엇다
2,10,2017.03.16 10:26,이제 짐싸서 남친 구하러 화성으로 가야지!!! 훈내좔좔
3,10,2017.03.17 01:14,이 영화를 16살 때 봤더라면 나는 좀 더 뜨거운 삶을 살 수 있었을 텐데
4,10,2017.03.16 01:13,새로운 명품 감성 SF의 탄생. 영상미도 뛰어나고 에이사 버터필드 준수하다.
5,9,2017.03.17 21:29,사랑이야기로 시작해 가족영화로 끝난다. 온 우주는 거들뿐
6,8,2017.03.16 16:36,몇몇 장면이 읭스럽긴 했지만 미국의 다양한 예쁜 경치를 많이 보여주어서 좋았고  주인공  배우 2명의 합이 잘 맞았고 캐릭터도 굉장히 잘 어울렸다. 극 중 인물들의 나이를 감안하지 않고 보면 정말 괜찮은 영화. 에이사 에게 너무 잘 어울리는 역할이었음 
7,8,2017.03.16 21:56,움... 재밋는데...뭔가...점점...산으로가는듯한...??
8,6,2017.03.16 17:21,&#34;너 봄 감자가 맛있단다&#34; 여주가 별로라더니 리얼. 어디까지나 남주에 비해서지만 진짜 나이들어뵌다. 극중 내내 남주에게 극딜먹은 여주에게 심심한 위로를. 그리고 둘의 탈주극에 희생당한 창고와 3대의 차주들에게 묵념. 
9,7,2017.03.23 01:34,"아주 좋은 소재였는데, 너무 평이하게 풀어낸것 같다. 최고급의 고기와 최고급의 채소를 준비했는데, 그냥 삶아서 소금만 뿌린 기분. 좀더 재미있을수 있는 영화 같은데..."
10,7,2017.04.03 23:21,연기는 잘 했지만 여주가 7살이나 더 많더라. 비슷한 또래 중에 연기 잘하는 애들 찾았으면 더 좋을 뻔 했다.
11,9,2017.03.17 22:45,sf를 가장한 10대들의 로맨스물이긴 하나 지구에 살고 싶어하는 주인공의 절절함과 사랑이 감성 자극 OST와 함께 하니 너무나 절절하다.
12,10,2017.03.16 01:20,새로운 소재로 나날이 진화하는 SF 영화들. 마션과 컨택트 그리고 스페이스 비트윈 어스. 신선하고 감성적이다.
13,9,2017.03.16 18:44,혼자 보기고 좋았구요 연인과 함께 보기에도 좋을꺼 같아요
14,6,2017.03.17 10:21,예고편에서는 화성에서 혼자살아남는 것 처럼 보여주고 너무 러브스토리 쪽으로 이야기가 흘러갔다..   마지막 결말을 볼때 만족하지 못한다..  그냥 다 소년에게 사실을 말하고 해결을  했으면 둘다 윈윈으로 끝날텐데.. 너무 몸만 버린것 같다... 
